id;group;situation;measure
2;control;1;1,75
4;experiment;1;0,75
6;experiment;1;1,25
7;control;1;1
8;experiment;1;1
9;control;1;0,25
11;control;1;0,75
12;experiment;1;1
14;experiment;1;1
16;experiment;1;0,5
17;control;1;1
18;experiment;1;1,25
19;control;1;0,75
23;control;1;1
24;experiment;1;1,75
25;control;1;2
27;control;1;1,5
28;experiment;1;1,75
30;experiment;1;2
31;control;1;1,75
32;experiment;1;0,75
33;control;1;1,5
34;experiment;1;1
35;control;1;1,5
37;control;1;1,75
39;control;1;1,25
40;experiment;1;1,75
2;control;2;2
6;experiment;2;2
8;experiment;2;1
10;experiment;2;1,75
12;experiment;2;0,75
17;control;2;2
18;experiment;2;1,5
20;experiment;2;1,75
24;experiment;2;2
25;control;2;2
27;control;2;1,5
28;experiment;2;0,75
29;control;2;1,25
30;experiment;2;1,5
31;control;2;1,75
35;control;2;1,75
36;experiment;2;1
37;control;2;1,5
38;experiment;2;-0,25
39;control;2;0,75
40;experiment;2;1,75
