id;acceleration;delta_distance
1;424,62;226,41
2;424,62;293,04
4;424,62;101,36
5;424,62;207,13
6;424,62;245,69
8;424,62;168,31
9;424,62;345,11
10;424,62;333,4
11;424,62;164,97
12;424,62;130,71
13;424,62;197,06
14;424,62;236,47
15;424,62;351,45
16;424,62;185,24
19;424,62;55,65
20;424,62;254,24
21;424,62;210,59
22;424,62;299,93
24;424,62;315,06
26;424,62;146,61
28;424,62;308,26
29;424,62;244,94
30;424,62;273,46
31;424,62;182,02
32;424,62;176,98
33;424,62;192,88
34;424,62;174,65
35;424,62;267,39
36;424,62;200,77
39;424,62;147,38
40;424,62;215,7
2;607,39;433,55
4;607,39;148,06
5;607,39;197,34
6;607,39;284,81
7;607,39;271,39
9;607,39;492,11
10;607,39;449,52
11;607,39;218,1
13;607,39;258,93
14;607,39;356,11
15;607,39;443,77
18;607,39;309,53
19;607,39;252,27
20;607,39;345,12
21;607,39;243,06
22;607,39;500,97
24;607,39;394,55
25;607,39;378,75
26;607,39;192,03
27;607,39;341,47
28;607,39;422,98
29;607,39;250,85
30;607,39;410,35
32;607,39;328,65
33;607,39;220,55
34;607,39;190
35;607,39;403,3
37;607,39;372,35
38;607,39;467,7
39;607,39;224,04
40;607,39;309,77
1;780,3;421,59
2;780,3;438,6
4;780,3;287,67
5;780,3;312,8
7;780,3;353,67
9;780,3;528,16
10;780,3;525,89
12;780,3;282,76
13;780,3;369,25
14;780,3;477,07
15;780,3;558,37
17;780,3;510,13
18;780,3;368,99
19;780,3;274,11
21;780,3;312,38
22;780,3;683,68
23;780,3;375,93
26;780,3;300,7
29;780,3;365,48
31;780,3;270,9
33;780,3;404,02
34;780,3;315,36
35;780,3;514,06
36;780,3;530,96
39;780,3;284,25
1;1165;649,91
2;1165;689,08
4;1165;600,07
6;1165;636,38
7;1165;576,69
8;1165;806,77
9;1165;808,93
10;1165;779,76
13;1165;609,13
14;1165;730,36
15;1165;797,45
16;1165;659,74
18;1165;596,77
19;1165;618,88
20;1165;856,34
21;1165;558,91
22;1165;899,8
23;1165;578,52
26;1165;530,43
28;1165;719,34
29;1165;601,91
30;1165;757,32
31;1165;484,74
32;1165;507,48
33;1165;596,26
35;1165;665,89
36;1165;709,64
37;1165;756,16
38;1165;840,76
39;1165;500,26
40;1165;597,33
