id;group;stage;dv
1;2;1;0,365151515
2;2;1;0,208333333
3;1;1;1,598611111
4;2;1;0,358333333
5;1;1;2,466071429
6;2;1;0,671153846
7;2;1;3,458974359
8;1;1;1,590432099
10;2;1;0,204166667
11;2;1;NA
12;2;1;0,780555556
13;2;1;1,104166667
15;2;1;0,602777778
16;1;1;NA
17;2;1;0,785833333
18;2;1;2,456578947
19;2;1;1,158333333
20;1;1;1,80952381
21;1;1;4,474242425
23;2;1;0,85
25;1;1;2,827192983
26;1;1;0,48844697
30;1;1;3,277222222
31;1;1;NA
32;1;1;1,952884615
33;1;1;1,885087719
36;2;1;0,461309524
38;2;1;1,522916667
39;1;1;NA
40;1;1;NA
41;2;1;0,334741784
42;1;1;NA
43;2;1;0,294791667
47;2;1;1,116216216
1;2;2;0,54537037
2;2;2;0
3;1;2;1,121813726
8;1;2;1,853819445
9;2;2;0
11;2;2;NA
12;2;2;0,416666667
13;2;2;0,411666667
14;1;2;1,249242424
15;2;2;0,775
16;1;2;NA
18;2;2;2,056597222
20;1;2;1,977666667
23;2;2;0,417361111
30;1;2;0,703333333
32;1;2;1,50703125
33;1;2;1,385119048
38;2;2;1,146666667
39;1;2;NA
40;1;2;NA
42;1;2;NA
43;2;2;0,201666667
18;2;3;1,431018518
19;2;3;0,291666667
20;1;3;1,54077381
21;1;3;2,251315789
23;2;3;0
25;1;3;2,925520833
29;1;3;0,963888889
30;1;3;0,4625
31;1;3;NA
33;1;3;1,601234568
34;1;3;0,620175439
37;2;3;0,829761905
38;2;3;0,802777778
39;1;3;NA
41;2;3;0,266397849
42;1;3;NA
43;2;3;0,246296296
44;1;3;0,938
1;2;4;0,288333333
3;1;4;1,177298851
4;2;4;0,541666667
5;1;4;0
6;2;4;0,783333334
8;1;4;1,309558824
11;2;4;NA
12;2;4;0,35530303
13;2;4;1,075490196
14;1;4;0,649603175
16;1;4;NA
17;2;4;0,416666667
18;2;4;1,039351852
19;2;4;0,580555556
20;1;4;1,800617284
26;1;4;0,347093023
29;1;4;0,34375
30;1;4;0,175
32;1;4;1,363095238
33;1;4;0,780392157
34;1;4;0,770698925
37;2;4;0
39;1;4;NA
43;2;4;0,4125
44;1;4;1,415104167
45;1;4;0,859469697
46;2;4;1,744318182
47;2;4;0,4
1;2;5;0,475
3;1;5;1,153947368
4;2;5;0,893518518
5;1;5;1,034313725
6;2;5;0,516666667
9;2;5;0
10;2;5;0,179761905
11;2;5;NA
12;2;5;0,610333333
13;2;5;0,538333333
14;1;5;1,052666667
15;2;5;1,045833333
16;1;5;NA
17;2;5;0,540833333
19;2;5;0,425
20;1;5;1,372043011
21;1;5;6,248148148
23;2;5;3,202777778
26;1;5;0,629761905
29;1;5;0,626449275
30;1;5;0,396568627
31;1;5;NA
32;1;5;2,359782609
34;1;5;1,29375
36;2;5;1,059313725
37;2;5;0
38;2;5;0,375
40;1;5;NA
41;2;5;0,336805556
43;2;5;0,222619048
44;1;5;1,075877193
46;2;5;1,007539682
47;2;5;0,913888889
1;2;6;0,222222222
2;2;6;0,225
4;2;6;0,21474359
6;2;6;0,183333333
7;2;6;2,926282052
8;1;6;1,491666667
9;2;6;0,836904762
15;2;6;0,35
16;1;6;NA
17;2;6;0,763888889
19;2;6;0,875
20;1;6;1,2859375
21;1;6;3,077777778
23;2;6;0
25;1;6;1,724621212
26;1;6;0,439880953
29;1;6;1,05
30;1;6;0,141666667
31;1;6;NA
34;1;6;0,905059524
36;2;6;0,429166667
37;2;6;1,215555555
38;2;6;0,186111111
39;1;6;NA
40;1;6;NA
41;2;6;0,5494709
42;1;6;NA
43;2;6;0
44;1;6;1,123541667
45;1;6;1,329059829
46;2;6;2,038888889
47;2;6;1,259375
